iter	R2	RMSE
110	0.701045366	743046.44591111	0.7022317987	741570.55141112	0.7033111857	740225.26291113	0.7042257844	739083.44011114	0.7050952895	737996.27115115	0.7064193796	736337.6511116	0.7074717972	735016.66811117	0.7082984387	733977.40911118	0.7090319605	733053.9119	119	0.7097064616	732203.120	0120	0.7103504607	731391.121	0121	0.7115877749	729827.122	0122	0.7121937955	729060.123	0123	0.7129705772	728075124	0.124	0.713892661	726905.125	0125	0.7147840531	725772.126	0126	0.7153563815	725043.127	0127	0.7161752014	723999.128	0128	0.7170029716	722943.129	129	0.7177553434	721981.6130	130	0.7183433134	721229.2131	131	0.7186049831	720894.1132	132	0.7191044643	720254.0133	133	0.7198810002	719257.8134	134	0.7205595535	718386.1135	135	0.7210772458	717720.1136	136	0.7218126871	716773.1137	137	0.7225109851	715873.1138	138	0.7231867977	715001.1139	139	0.723679047	714365.01140140	0.7243575413	713487.51141141	0.7247513002	712977.7142142	0.7254940278	712015.11143143	0.7259500059	711423.5144	144	0.7265783652	710607.4145	145	0.7270872325	709945.8146	146	0.7283249741	708334.1147	147	0.7288926402	707593.148	0148	0.7292296572	707153.149	0149	0.729445852	706871.4150	150	0.729854313	706337.61151151	0.7303219901	705725.94152152	0.7308867285	704986.6153	153	0.7313073508	704435.154	0154	0.731785784	703808.0155	155	0.7323558478	703059.6156156	0.7330076061	702203.13157157	0.7336883137	701307.4158	158	0.7341215683	700736.7159	159	0.7346273977	700069.8160	160	0.7351668053	699357.9161	161	0.735679861	698680.21162162	0.7357859081	698540.04163163	0.7358279088	698484.51164164	0.736598201	697465.42165165	0.7368850307	697085.57166166	0.7372024163	696665.01167167	0.7378009532	695871.21168168	0.7378391395	695820.5316169	0.7385073052	694933.25817170	0.738928342	694373.567
171	0.7394400478	693692.74
172	0.7398989423	693081.6099
173	0.7402867929	692564.6716
174	0.7405776606	692176.7416
175	0.7411261868	691444.5803
176	0.7418282158	690506.394
177	0.7423212041	689846.8056
178	0.742722447	689309.5011
179	0.7429901449	688950.7937
180	0.7434484774	688336.2074
181	0.7438096507	687851.5169
182	0.7441522655	687391.4156
183	0.7444453569	686997.5754
184	0.7447614436	686572.5822
185	0.7452006855	685981.564
186	0.7456581543	685365.47881187	0.7459325188	684995.71921188	0.7462008469	684633.90118189	0.7467399868	683906.33819190	0.7468845713	683711.0921191	0.7472873769	683166.84961192	0.7476057942	682736.31919193	0.7477770876	682504.60219194	0.7481749923	681966.03319195	0.7485693036	681431.9081196	0.7490914864	680723.92571197	0.749268959	680483.1383
198	0.7495930241	680043.2404
199	0.7501116796	679338.6055
200	0.7502668243	679127.6869
201	0.7505946632	678681.7759
202	0.7510975402	677997.2162
203	0.751502813	677445.0204
204	0.7519589606	676822.9674
205	0.7521607467	676547.6072
206	0.7526924866	675821.4499
207	0.7528658224	675584.5697
