iter	R2	RMSE
807	0.9829176735	175974.5021
808	0.9829285071	175918.6921
809	0.9829375362	175872.1641
810	0.982951816	175798.5542
811	0.9829700025	175704.7604
812	0.9829830057	175637.6682
813	0.9829879374	175612.2155
814	0.9830001412	175549.2158
815	0.9830230669	175430.8043
816	0.9830392488	175347.1771
817	0.9830516516	175283.0527
818	0.9830660306	175208.6815
819	0.9830771118	175151.3458
820	0.9830800519	175136.1303
821	0.983085717	175106.8086
822	0.9830936658	175065.6584
823	0.9831059456	175002.0681
824	0.9831190221	174934.3265
825	0.9831291193	174882.0009
826	0.9831430302	174809.8866
827	0.9831474835	174786.794
828	0.9831564016	174740.5408
829	0.9831771272	174633.0011
830	0.9831834566	174600.1461
831	0.9831991319	174518.7516
832	0.9832042092	174492.3795
833	0.9832146462	174438.1557
834	0.983225122	174383.7134
835	0.9832476645	174266.5033
836	0.9832630215	174186.6093
837	0.9832712719	174143.6721
838	0.9832852988	174070.6474
839	0.9832950465	174019.8831
840	0.9833003525	173992.2439
841	0.9833122633	173930.1839
842	0.9833199601	173890.0685
843	0.9833283192	173846.4911
844	0.9833324047	173825.1887
845	0.983338972	173790.9405
846	0.9833425251	173772.4084
847	0.9833496138	173735.4296
848	0.9833585012	173689.0563
849	0.9833700319	173628.8725
850	0.9833857661	173546.7147
851	0.9833931485	173508.1532
852	0.9834080962	173430.049
853	0.9834236782	173348.5932
854	0.9834361781	173283.221
855	0.9834531971	173194.1755
856	0.9834620811	173147.6754
857	0.9834716586	173097.5314
858	0.9834834501	173035.7756
859	0.9834884709	173009.4731
860	0.9835036433	172929.9659
861	0.9835180301	172854.5418
862	0.9835278181	172803.2083
863	0.9835440215	172718.1953
864	0.9835553023	172658.9849
865	0.9835663732	172600.8566
866	0.9835791349	172533.8259
867	0.9835871863	172491.523
868	0.9835985467	172431.8163
869	0.9836058138	172393.6114
870	0.9836198751	172319.6649
871	0.9836344389	172243.0415
872	0.9836407334	172209.9146
873	0.9836460153	172182.1118
874	0.9836489828	172166.4897
875	0.9836632178	172091.5301
876	0.9836846456	171978.6332
877	0.9836984025	171906.1125
878	0.9837141964	171822.8163
879	0.9837231063	171775.8081
880	0.9837293	171743.1227
881	0.9837386997	171693.5071
882	0.9837492076	171638.0244
883	0.9837594013	171584.1843
884	0.9837614726	171573.2421
885	0.9837729693	171512.4954
886	0.9837794417	171478.2867
887	0.9837838087	171455.2021
888	0.9837914101	171415.0122
889	0.9837964752	171388.2267
890	0.9838037095	171349.963
891	0.983820202	171262.699
892	0.9838273299	171224.9708
893	0.9838439669	171136.8776
894	0.9838540291	171083.5759
895	0.9838620768	171040.9339
896	0.9838745248	170974.9546
897	0.9838867058	170910.366
898	0.9838953398	170864.5706
899	0.9838998862	170840.4509
900	0.9839168258	170750.5532
901	0.9839212284	170727.1809
902	0.9839329632	170664.8684
903	0.9839419069	170617.3618
904	0.983946313	170593.9526
905	0.9839478355	170585.8632
906	0.9839552438	170546.4949
907	0.9839713872	170460.6758
908	0.9839813499	170407.6918
909	0.9839934615	170343.2575
910	0.9840060346	170276.3423
911	0.9840170977	170217.4414
912	0.9840324835	170135.4928
913	0.984051314	170035.1429
914	0.9840643187	169965.8047
915	0.9840773205	169896.4536
916	0.9840900352	169828.6064
917	0.9840917227	169819.5995
918	0.9841013716	169768.0913
919	0.9841251329	169641.1801
920	0.9841431858	169544.695
921	0.9841497201	169509.7581
922	0.9841575009	169468.1473
923	0.9841632847	169437.2096
924	0.9841794944	169350.4739
925	0.984189367	169297.6251
926	0.984202291	169228.4168
927	0.9842123032	169174.7818
928	0.9842218879	169123.4211
929	0.984231594	169071.394
930	0.9842513411	168965.4949
931	0.9842630892	168902.4612
932	0.9842733747	168847.2555
933	0.9842815356	168803.4408
934	0.9842923153	168745.5482
935	0.9843047706	168678.6321
936	0.9843132616	168632.9991
937	0.9843235815	168577.52
938	0.9843297289	168544.4637
939	0.9843380908	168499.4887
940	0.9843578138	168393.3599
941	0.9843694283	168330.8314
942	0.9843772759	168288.5692
